0,Title,Enrollment,Stars,Link,Website
189,Spring & Hibernate for Beginners (includes Spring Boot),177053,4.6,https://www.udemy.com/course/spring-hibernate-tutorial/,Udemy
190,Scrum Certification Prep +Scrum Master+ Agile Scrum Training,175168,4.4,https://www.udemy.com/course/scrum-certification/,Udemy
191,Data Science: Visualization,171258,4.4,https://www.edx.org/course/data-science-visualization,edX
192,Executive Data Science,170000,4.5,https://www.coursera.org/,Coursera
193,Functional Programming Principles in Scala,170000,4.8,https://www.coursera.org/,Coursera
194,How Things Work: An Introduction to Physics,170000,4.8,https://www.coursera.org/,Coursera
195,Medical Neuroscience,170000,4.9,https://www.coursera.org/,Coursera
196,Python for Data Science and AI,170000,4.6,https://www.coursera.org/,Coursera
197,Responsive Website Development and Design,170000,4.5,https://www.coursera.org/,Coursera
198,TensorFlow in Practice,170000,4.7,https://www.coursera.org/,Coursera
199,Introduction to Marketing,169126,4.8,https://www.edx.org/course/introduction-to-marketing,edX
200,Learn to Code with Python 3!,162731,4.1,https://www.udemy.com/course/python3-for-beginners/,Udemy
201,JavaScript Introduction,160112,4.3,https://www.edx.org/course/javascript-introduction,edX
202,Business and Financial Modeling,160000,4.5,https://www.coursera.org/,Coursera
203,Introduction to Big Data,160000,4.6,https://www.coursera.org/,Coursera
204,Introduction to Probability and Data,160000,4.7,https://www.coursera.org/,Coursera
205,Java Programming: Solving Problems with Software,160000,4.6,https://www.coursera.org/,Coursera
206,Learn SQL Basics for Data Science,160000,4.6,https://www.coursera.org/,Coursera
207,Photography Basics and Beyond: From Smartphone to DSLR,160000,4.7,https://www.coursera.org/,Coursera
208,SQL for Data Science,160000,4.6,https://www.coursera.org/,Coursera
209,Learning Python for Data Analysis and Visualization,158406,4.3,https://www.udemy.com/course/learning-python-for-data-analysis-and-visualization/,Udemy
210,Python for Absolute Beginners,153580,4.4,https://www.udemy.com/course/python-for-absolute-beginners-u/,Udemy
211,JavaScript: Understanding the Weird Parts,152004,4.7,https://www.udemy.com/course/understand-javascript/,Udemy
212,Machine Learning,150855,4.7,https://www.edx.org/course/machine-learning,edX
213,Practical Web Development: 22 Courses in 1,150076,4.2,https://www.udemy.com/course/the-complete-web-development-course/,Udemy
214,Algorithms,150000,4.8,https://www.coursera.org/,Coursera
215,Applied Machine Learning in Python,150000,4.6,https://www.coursera.org/,Coursera
216,Arizona State University TESOL,150000,4.9,https://www.coursera.org/,Coursera
217,"Creatividad, diseño e innovación: Técnicas y herramientas",150000,4.7,https://www.coursera.org/,Coursera
218,De-Mystifying Mindfulness,150000,4.8,https://www.coursera.org/,Coursera
219,Dog Emotion and Cognition,150000,4.6,https://www.coursera.org/,Coursera
220,Full Stack Web and Multiplatform Mobile App Development,150000,4.7,https://www.coursera.org/,Coursera
221,Fundamentos de Excel para Negocios,150000,4.7,https://www.coursera.org/,Coursera
222,Interaction Design,150000,4.5,https://www.coursera.org/,Coursera
223,Introduction to Classical Music,150000,4.9,https://www.coursera.org/,Coursera
224,Introduction to Engineering Mechanics,150000,4.7,https://www.coursera.org/,Coursera
225,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",150000,4.7,https://www.coursera.org/,Coursera
226,Mathematics for Machine Learning,150000,4.6,https://www.coursera.org/,Coursera
227,Viral Marketing and How to Craft Contagious Content,150000,4.7,https://www.coursera.org/,Coursera
228,Docker and Kubernetes: The Complete Guide,149882,4.7,https://www.udemy.com/course/docker-and-kubernetes-the-complete-guide/,Udemy
229,Practical Web Design & Development: 7 Courses in 1,149125,4.3,https://www.udemy.com/course/learn-web-design-html-css-adobe-photoshop/,Udemy
230,Programming with Python : HandsOn Introduction for Beginners,148891,4.3,https://www.udemy.com/course/python-programming-beginners/,Udemy
