index,Title,Summary,Enrollment,Stars,Link,Website
9694,Firebase Web App (Blog App) using NodeJs - Node.Js Project,Full Stack Firebase Web Blog App using NodeJs & Firebase - Dynamic Web App & Website Project - Complete Firebase for Web,149,3.9,https://www.udemy.com/course/firebase-web-app-blog-app-using-nodejs-nodejs-project/,Udemy
9695,Learning PowerShell 6,Enhance your skills with PowerShell 6 to administer and automate your systems effectively,149,4.1,https://www.udemy.com/course/learning-powershell-6/,Udemy
9696,Mastering Unsupervised Learning with Python,"Master advanced clustering, topic modeling, manifold learning, and autoencoders using Python",149,3.6,https://www.udemy.com/course/mastering-unsupervised-learning-with-python/,Udemy
9697,Mastering Unsupervised Learning with Python,"Master advanced clustering, topic modeling, manifold learning, and autoencoders using Python",149,3.6,https://www.udemy.com/course/mastering-unsupervised-learning-with-python/,Udemy
9698,OutSystems Reactive for Beginners,The Beginning of your OutSystems Journey,149,4.3,https://www.udemy.com/course/outsystems-reactive-web-for-beginners/,Udemy
9699,Unity3D : Build a Fully Featured Mobile Infinite Runner Game,Comprehend Unity Game Engine by Building a Fully Featured Infinite Runner Game with this Project-Centered Course,149,4.7,https://www.udemy.com/course/make-infinite-runner-game-unity3d/,Udemy
9700,Build your first mobile game for iPhone Swift/iOS having fun,"Learn Swift, iOS and SpriteKit while having fun, learn programing from the ground up every and learn while playing games",148,4.4,https://www.udemy.com/course/how-to-make-iphone-game/,Udemy
9701,Building Chatbots with IBM Watson Assistant: End-to-End,IBM Watson Assistant Chatbot development tutorial,148,3.5,https://www.udemy.com/course/building-chatbots-with-ibm-watson-assistant-end-to-end/,Udemy
9702,Dummy Variable Regression & Conjoint (Survey) Analysis in R,"Dummy Variable regression (ANOVA / ANCOVA / structural shift), Conjoint analysis for product design Survey analysis",148,3.8,https://www.udemy.com/course/dummy-variable-regression-and-conjoint-analysis-using-r/,Udemy
9703,"Full-Stack Web Development using Angular 10, Web API & SQL","Learn to create a Web Application from scratch using Angular 10, ASP .NET Web API and Microsoft SQL Server.",148,4.2,https://www.udemy.com/course/full-stack-development-using-angular-10-web-api-sql/,Udemy
9704,Intro to Procedural Modeling with Houdini,Procedural Generate Geometry with Houdini!,148,4,https://www.udemy.com/course/intro-to-procedural-modeling-with-houdini/,Udemy
9705,Learn and Understand Angular and NodeJS- A Developers Course,"Angular Course for Beginners - Learn JavaScript, Understand NodeJS and Angular 7 by Building and Deploying a Web App",148,4.4,https://www.udemy.com/course/master-in-angular-and-nodejs-by-building-a-mean-stack-app/,Udemy
9706,Learn PyTorch for Natural Language Processing,Build smart language applications with the cutting-edge field of Deep Learning with PyTorch,148,3.3,https://www.udemy.com/course/learn-pytorch-for-natural-language-processing/,Udemy
9707,Practical JUnit 5 : Java Unit Testing with JUnit 5,Master JUnit 5 testing framework step by step with in depth examples and demonstrations.,148,3.5,https://www.udemy.com/course/java-unit-testing-with-junit-5/,Udemy
9708,Professional PHP & MySQL Certification,"Get certified as a PHP/MySQL developer and learn about Hashing, MVC, CRUD operations and how to avoid MySQL Injection.",148,4.5,https://www.udemy.com/course/backend-web-development-certification-php/,Udemy
9709,Python 2000: Beyond The Basics,Secrets of the Pythonic Masters,148,4.1,https://www.udemy.com/course/python-2000-beyond-the-basics/,Udemy
9710,Cloud-Native Applications in Java,Build highly scalable microservice-based applications with Java for the cloud,147,4.1,https://www.udemy.com/course/cloud-native-applications-in-java/,Udemy
9711,Cloud-Native Applications in Java,Build highly scalable microservice-based applications with Java for the cloud,147,4.1,https://www.udemy.com/course/cloud-native-applications-in-java/,Udemy
9712,Data Science 101,"Learn the basics of Data Cleaning, Data Engineering, Data Visualization, Data Exploration and Data Modelling.",147,4,https://www.udemy.com/course/data-science-101/,Udemy
9713,Django | Create a Complete Website,Learn Django by Building a Complete CMS,147,4.1,https://www.udemy.com/course/django-web-developers/,Udemy
9714,Explore Java IO,A deep and comprehensive guide on Java IO Libraries,147,4.3,https://www.udemy.com/course/explore-java-io/,Udemy
9715,Explore Java IO,A deep and comprehensive guide on Java IO Libraries,147,4.3,https://www.udemy.com/course/explore-java-io/,Udemy
9716,Kotlin: Master Kotlin Programming - Step by Step Guide!,"No prior knowledge is required for this course, you will be learning Kotlin development from scratch.",147,4.1,https://www.udemy.com/course/kotlin-master-kotlin-programming-step-by-step-guide/,Udemy
9717,Learning Path: R Programming,Get started with Spark for large-scale distributed data science and processing,147,4,https://www.udemy.com/course/learning-path-r-programming/,Udemy
9718,XML Crash Course For Beginners,Quickly Learn basics of XML & start writing the web applications which use XML aggressively,147,2.8,https://www.udemy.com/course/xml-crash-course-for-beginners-learn-xml-with-in-one-hour/,Udemy
9719,C++ for Arduino,Get All C++ Programming Basics on the Arduino Platform,146,4.2,https://www.udemy.com/course/programming-for-arduino/,Udemy
9720,C++ for Arduino,Get All C++ Programming Basics on the Arduino Platform,146,4.2,https://www.udemy.com/course/programming-for-arduino/,Udemy
9721,"Complete Guide to Android UI Design, Styles & Animations","Enhance Android UI Design by implementing application styles and themes, the Material Design library, and animations",146,4.1,https://www.udemy.com/course/complete-guide-to-android-ui-design-styles-animations/,Udemy
9722,Design Patterns In JavaScript OOP/UML for Projects/Interview,Design Patterns in JavaScript OOP/UML for JS Interview/Projects/Software Architecture/Using JavaScript Design Patterns,146,2.6,https://www.udemy.com/course/design-patterns-through-javascript/,Udemy
9723,Learn Java From Scratch,"In this course you’ll learn the fundamentals of Java, a popular, platform-independent language for server-side develop..",146,4.3,https://www.udemy.com/course/learnjava/,Udemy
9724,Learning Path: Learn Functional Programming with JavaScript,Become a functional programmer by building and testing web applications,146,3.2,https://www.udemy.com/course/learning-path-learn-functional-programming-with-javascript/,Udemy
9725,Make Your Own Custom Report in Moodle,Your first step in Moodle and PHP development,146,4.3,https://www.udemy.com/course/make-your-own-custom-report-in-moodle/,Udemy
9726,Mobile Application Automation using Appium,Detailed Java with BDD concepts,146,3.6,https://www.udemy.com/course/api-testing-using-ruby/,Udemy
9727,Python Object Oriented Programming Fundamentals,Create Python applications using the modern day standard programming technique “Object-Oriented Programming”.,146,2.9,https://www.udemy.com/course/python-object-oriented-programming-fundamentals/,Udemy
9728,"AI, Basic Statistics, Basic Python, Basic R, ML (Overview)",Learn AI world from AI professional,145,3.8,https://www.udemy.com/course/ai-basic-statistics-basic-python-basic-r-ml-overview/,Udemy
